	RSSUBMTHAIRY1	RSCONMTHAIRY3	RSSUBMTHAIRY3	RSCONMTHAIRY4	RSSUBMTHAIRY4	INRNACONMTHAIRY1	INRNACONMTHAIRY2	INRNACONMTHAIRY3	INRNACONMTHAIRY4	INRNASUBMTHAIRY1	INRNASUBMTHAIRY2	INRNASUBMTHAIRY3	INRNASUBMTHAIRY4	TOTCONMTHAIRY1	TOTCONMTHAIRY2	TOTCONMTHAIRY3	TOTCONMTHAIRY4	TOTSUBMTHAIRY1	TOTSUBMTHAIRY2	TOTSUBMTHAIRY3	TOTSUBMTHAIRY4	TRACONMTHAIRY1	TRACONMTHAIRY3	TRACONMTHAIRY4	TRASUBMTHAIRY1	TRASUBMTHAIRY3	TRASUBMTHAIRY4
Medtr0002s1180	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s1200	0	6	6	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	63	0	36	0	0	0	0	0	0
Medtr0002s1220	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Medtr0002s1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0
Medtr0002s1250	0	1	9	0	3	0	1	0	0	4	3	6	10	0	0	0	22	3	0	0	2	0	0	0	0	0	67
Medtr0002s1260	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0
Medtr0002s1270	0	2	6	1	1	8	11	4	16	15	9	27	5	11	7	136	48	23	58	0	40	0	0	4	0	0	14
Medtr0002s1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0060	0	4	1	3	0	0	0	0	0	0	0	0	0	42	0	0	36	0	1	0	3	3	0	29	0	0	0
Medtr0003s0070	2	1	4	9	0	0	0	0	0	0	0	0	0	11	0	0	11	0	1	0	30	0	0	10	0	0	0
Medtr0003s0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0090	0	14	14	20	5	23	10	48	24	56	29	48	22	31	245	104	227	247	298	183	232	71	70	54	701	11	125
Medtr0003s0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0170	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0
Medtr0003s0180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0250	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0290	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0390	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0410	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0430	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Medtr0003s0460	2	2	3	6	0	0	0	0	0	0	0	0	0	75	24	141	14	133	0	9	88	182	0	0	0	0	0
Medtr0003s0470	73	256	710	465	112	25	13	17	20	36	36	43	33	773	610	333	1186	978	1388	1611	1929	675	326	273	672	140	792
Medtr0003s0480	0	0	1	16	0	14	6	20	10	29	5	23	8	2	0	116	101	56	0	70	36	0	0	0	0	2	16
Medtr0003s0490	0	0	0	0	0	7	5	2	0	15	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0500	1	9	19	33	13	6	10	7	0	6	1	10	7	113	136	198	163	38	151	122	98	1	0	15	213	0	6
Medtr0003s0530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0540	21	70	146	180	22	25	20	13	9	37	32	34	11	761	193	237	504	256	221	261	303	44	212	5	148	0	178
Medtr0003s0560	52	208	542	471	105	9	19	11	10	39	20	51	30	326	340	393	651	742	887	1004	1156	233	647	360	71	81	819
Medtr0003s0580	73	23	260	69	59	15	13	10	16	42	26	51	18	298	3	370	469	1130	842	2076	795	12	35	147	442	58	1231
Medtr0003s0590	0	0	2	1	2	0	0	0	0	1	0	3	0	8	0	36	13	24	0	0	33	0	0	0	0	0	0
Medtr0003s0610	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0620	5	8	7	6	0	1	0	2	1	2	0	9	4	152	235	217	137	52	13	48	66	0	191	0	0	0	71
Medtr0003s0630	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0660	4	23	15	42	4	11	5	7	2	8	3	17	8	438	890	286	926	361	370	450	574	379	252	377	273	12	206
Medtr0003s0690	0	8	15	5	0	6	3	0	2	2	2	2	5	4	1	36	38	90	10	50	65	96	0	0	0	0	0
Medtr0004s0130	80	179	374	463	88	34	20	32	41	49	26	42	16	537	769	631	952	225	818	1364	1049	520	616	1072	851	88	800
Medtr0004s0190	0	0	8	0	1	2	0	2	5	7	4	5	2	8	0	1	9	0	16	31	9	0	0	0	0	0	4
Medtr0004s0210	0	11	14	48	0	1	0	0	1	1	2	0	0	32	6	379	334	207	4	84	52	0	47	62	0	0	27
Medtr0004s0220	6	11	34	35	6	4	0	2	0	0	0	2	6	235	77	0	276	71	185	0	183	10	0	450	0	41	133
Medtr0004s0230	157	11	48	79	69	4	4	7	9	11	5	7	2	169	503	24	373	259	11	85	288	253	0	4	300	34	153
Medtr0004s0240	5	21	24	76	2	24	32	27	19	44	22	45	27	266	527	325	868	466	365	900	1543	409	234	396	1	26	512
Medtr0004s0250	0	0	0	0	0	8	1	3	9	4	1	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0004s0260	0	0	0	0	0	26	18	14	20	24	10	30	13	31	14	7	11	0	0	0	16	0	0	0	0	0	1
Medtr0004s0300	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0004s0330	14	45	38	102	10	22	25	30	23	19	10	15	11	310	171	439	632	204	435	629	349	610	0	462	2	0	183
Medtr0004s0350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0004s0360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0004s0440	0	3	2	1	0	0	0	1	0	0	0	2	1	0	71	0	72	0	0	0	25	0	176	0	0	0	0
Medtr0004s0450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0004s0480	8	33	113	140	24	97	78	109	95	112	75	156	73	925	1081	574	1140	372	477	1142	335	569	0	483	0	47	375
Medtr0004s0490	46	108	213	244	44	42	77	42	46	58	54	61	60	1697	1767	899	2286	738	1362	1625	2145	1647	1872	1118	396	33	926
Medtr0004s0510	21	53	96	160	20	2	10	1	0	7	5	1	2	145	760	458	331	172	602	680	320	141	43	68	9	5	30
Medtr0004s0530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
